met,split,value,src,trg,model
pcc,5,0.15114754028316826,CCLE,GDSCv2,graphdrp
pcc,6,0.11023032946288239,CCLE,GDSCv2,graphdrp
pcc,7,0.09680186335003957,CCLE,GDSCv2,graphdrp
pcc,8,0.07896010676336494,CCLE,GDSCv2,graphdrp
pcc,9,0.08319854194245134,CCLE,GDSCv2,graphdrp
scc,0,-0.010637756105198933,CCLE,GDSCv2,graphdrp
scc,1,0.1269943097193994,CCLE,GDSCv2,graphdrp
scc,2,0.016068748685159083,CCLE,GDSCv2,graphdrp
scc,3,0.021950806296897375,CCLE,GDSCv2,graphdrp
scc,4,0.020713763803876902,CCLE,GDSCv2,graphdrp
scc,5,0.07353829411447685,CCLE,GDSCv2,graphdrp
scc,6,0.05743586877413913,CCLE,GDSCv2,graphdrp
scc,7,0.0378759308372772,CCLE,GDSCv2,graphdrp
scc,8,0.033867899217934865,CCLE,GDSCv2,graphdrp
scc,9,0.016217159449990245,CCLE,GDSCv2,graphdrp
r2,0,-0.34394861223815565,CCLE,GDSCv2,graphdrp
r2,1,-0.15846005176566513,CCLE,GDSCv2,graphdrp
r2,2,-0.29448635683525026,CCLE,GDSCv2,graphdrp
r2,3,-0.3497789397280777,CCLE,GDSCv2,graphdrp
r2,4,-0.32869459654495126,CCLE,GDSCv2,graphdrp
r2,5,-0.2737895871553915,CCLE,GDSCv2,graphdrp
r2,6,-0.30701927865901846,CCLE,GDSCv2,graphdrp
r2,7,-0.2907128107617296,CCLE,GDSCv2,graphdrp
r2,8,-0.31424992983908084,CCLE,GDSCv2,graphdrp
r2,9,-0.2944217807769014,CCLE,GDSCv2,graphdrp
mse,0,0.04891114410240841,CCLE,gCSI,graphdrp
mse,1,0.04483382490993726,CCLE,gCSI,graphdrp
mse,2,0.050617730159886666,CCLE,gCSI,graphdrp
mse,3,0.05422299311677798,CCLE,gCSI,graphdrp
mse,4,0.04918568500101195,CCLE,gCSI,graphdrp
mse,5,0.04370843680631451,CCLE,gCSI,graphdrp
mse,6,0.05123312720501923,CCLE,gCSI,graphdrp
mse,7,0.04974690364703502,CCLE,gCSI,graphdrp
mse,8,0.046626330526209264,CCLE,gCSI,graphdrp
mse,9,0.05297740267152399,CCLE,gCSI,graphdrp
rmse,0,0.22115864012606068,CCLE,gCSI,graphdrp
rmse,1,0.21173999364772178,CCLE,gCSI,graphdrp
rmse,2,0.2249838442197276,CCLE,gCSI,graphdrp
rmse,3,0.23285831124694256,CCLE,gCSI,graphdrp
rmse,4,0.2217784592809048,CCLE,gCSI,graphdrp
rmse,5,0.20906562798871198,CCLE,gCSI,graphdrp
rmse,6,0.22634735961574465,CCLE,gCSI,graphdrp
rmse,7,0.22304013909391965,CCLE,gCSI,graphdrp
rmse,8,0.2159313097404109,CCLE,gCSI,graphdrp
rmse,9,0.23016820517074896,CCLE,gCSI,graphdrp
pcc,0,0.2780696412066812,CCLE,gCSI,graphdrp
pcc,1,0.28294157205493503,CCLE,gCSI,graphdrp
pcc,2,0.21868948832522417,CCLE,gCSI,graphdrp
pcc,3,0.205303053602151,CCLE,gCSI,graphdrp
pcc,4,0.24873750679625048,CCLE,gCSI,graphdrp
pcc,5,0.33157495754952937,CCLE,gCSI,graphdrp
pcc,6,0.1990575794500097,CCLE,gCSI,graphdrp
pcc,7,0.24816997129378796,CCLE,gCSI,graphdrp
pcc,8,0.2828602906936544,CCLE,gCSI,graphdrp
pcc,9,0.20754215490045758,CCLE,gCSI,graphdrp
scc,0,0.18584383459747333,CCLE,gCSI,graphdrp
scc,1,0.21131126508881248,CCLE,gCSI,graphdrp
scc,2,0.1078638040214757,CCLE,gCSI,graphdrp
scc,3,0.08905555877914337,CCLE,gCSI,graphdrp
scc,4,0.18495321318572575,CCLE,gCSI,graphdrp
scc,5,0.31310091477244706,CCLE,gCSI,graphdrp
scc,6,0.08888052453284705,CCLE,gCSI,graphdrp
scc,7,0.16299869741757703,CCLE,gCSI,graphdrp
scc,8,0.21070814373354563,CCLE,gCSI,graphdrp
scc,9,0.06265179839695066,CCLE,gCSI,graphdrp
r2,0,-0.3674857517770336,CCLE,gCSI,graphdrp
r2,1,-0.25348972891816945,CCLE,gCSI,graphdrp
r2,2,-0.4151994612109524,CCLE,gCSI,graphdrp
r2,3,-0.5159974657441495,CCLE,gCSI,graphdrp
r2,4,-0.3751615233012966,CCLE,gCSI,graphdrp
r2,5,-0.22202548441590864,CCLE,gCSI,graphdrp
r2,6,-0.43240508390386,CCLE,gCSI,graphdrp
r2,7,-0.39085239531323057,CCLE,gCSI,graphdrp
r2,8,-0.3036056265365117,CCLE,gCSI,graphdrp
r2,9,-0.48117253539968474,CCLE,gCSI,graphdrp
mse,0,0.010045683509822458,CTRPv2,CCLE,graphdrp
mse,1,0.010778916351507512,CTRPv2,CCLE,graphdrp
mse,2,0.010352402462443535,CTRPv2,CCLE,graphdrp
mse,3,0.009683240840424415,CTRPv2,CCLE,graphdrp
mse,4,0.01085827432083202,CTRPv2,CCLE,graphdrp
mse,5,0.009878056619392794,CTRPv2,CCLE,graphdrp
mse,6,0.010071498755121337,CTRPv2,CCLE,graphdrp
mse,7,0.010563642156739153,CTRPv2,CCLE,graphdrp
mse,8,0.01140117326820044,CTRPv2,CCLE,graphdrp
mse,9,0.01093101900409707,CTRPv2,CCLE,graphdrp
rmse,0,0.10022815727041208,CTRPv2,CCLE,graphdrp
