met,split,value,src,trg,model
mse,5,0.022997821579969758,CTRPv2,GDSCv1,tcnns
mse,6,0.02293362627294405,CTRPv2,GDSCv1,tcnns
mse,7,0.02433469395347214,CTRPv2,GDSCv1,tcnns
mse,8,0.023233480941782018,CTRPv2,GDSCv1,tcnns
mse,9,0.0231859255577527,CTRPv2,GDSCv1,tcnns
rmse,0,0.15434522159371303,CTRPv2,GDSCv1,tcnns
rmse,1,0.1494377279970236,CTRPv2,GDSCv1,tcnns
rmse,2,0.15116043824833017,CTRPv2,GDSCv1,tcnns
rmse,3,0.14925589619207066,CTRPv2,GDSCv1,tcnns
rmse,4,0.1492184049964039,CTRPv2,GDSCv1,tcnns
rmse,5,0.15165032667280925,CTRPv2,GDSCv1,tcnns
rmse,6,0.15143852308096528,CTRPv2,GDSCv1,tcnns
rmse,7,0.1559958138972714,CTRPv2,GDSCv1,tcnns
rmse,8,0.1524253290689642,CTRPv2,GDSCv1,tcnns
rmse,9,0.15226925348786832,CTRPv2,GDSCv1,tcnns
pcc,0,0.448213064534782,CTRPv2,GDSCv1,tcnns
pcc,1,0.4786195565156653,CTRPv2,GDSCv1,tcnns
pcc,2,0.45931260348143926,CTRPv2,GDSCv1,tcnns
pcc,3,0.45221386722513934,CTRPv2,GDSCv1,tcnns
pcc,4,0.4508774485825024,CTRPv2,GDSCv1,tcnns
pcc,5,0.4492371458189114,CTRPv2,GDSCv1,tcnns
pcc,6,0.42760638699189885,CTRPv2,GDSCv1,tcnns
pcc,7,0.44324396460395493,CTRPv2,GDSCv1,tcnns
pcc,8,0.4268659997128704,CTRPv2,GDSCv1,tcnns
pcc,9,0.44698363141916664,CTRPv2,GDSCv1,tcnns
scc,0,0.3538747391362703,CTRPv2,GDSCv1,tcnns
scc,1,0.3617483751540526,CTRPv2,GDSCv1,tcnns
scc,2,0.342604328728116,CTRPv2,GDSCv1,tcnns
scc,3,0.35747022235712594,CTRPv2,GDSCv1,tcnns
scc,4,0.33432516416472224,CTRPv2,GDSCv1,tcnns
scc,5,0.3586146508428766,CTRPv2,GDSCv1,tcnns
scc,6,0.3356807136980647,CTRPv2,GDSCv1,tcnns
scc,7,0.34458308546012095,CTRPv2,GDSCv1,tcnns
scc,8,0.32152962929807755,CTRPv2,GDSCv1,tcnns
scc,9,0.3388000641965331,CTRPv2,GDSCv1,tcnns
r2,0,0.10959661118047814,CTRPv2,GDSCv1,tcnns
r2,1,0.1653182092373281,CTRPv2,GDSCv1,tcnns
r2,2,0.14596295002177673,CTRPv2,GDSCv1,tcnns
r2,3,0.16734821013136192,CTRPv2,GDSCv1,tcnns
r2,4,0.1677664608176075,CTRPv2,GDSCv1,tcnns
r2,5,0.14041836669119012,CTRPv2,GDSCv1,tcnns
r2,6,0.14281777250760785,CTRPv2,GDSCv1,tcnns
r2,7,0.09045054976797906,CTRPv2,GDSCv1,tcnns
r2,8,0.13161020812596658,CTRPv2,GDSCv1,tcnns
r2,9,0.1333876692882946,CTRPv2,GDSCv1,tcnns
mse,0,0.01841092075224172,CTRPv2,GDSCv2,tcnns
mse,1,0.016345308566170055,CTRPv2,GDSCv2,tcnns
mse,2,0.016496230799605736,CTRPv2,GDSCv2,tcnns
mse,3,0.01543684848609609,CTRPv2,GDSCv2,tcnns
mse,4,0.015619601277258293,CTRPv2,GDSCv2,tcnns
mse,5,0.016719851877289697,CTRPv2,GDSCv2,tcnns
mse,6,0.015701989135584946,CTRPv2,GDSCv2,tcnns
mse,7,0.017855991294441927,CTRPv2,GDSCv2,tcnns
mse,8,0.016649937155280695,CTRPv2,GDSCv2,tcnns
mse,9,0.016346748312776944,CTRPv2,GDSCv2,tcnns
rmse,0,0.13568684811816406,CTRPv2,GDSCv2,tcnns
rmse,1,0.12784877225132063,CTRPv2,GDSCv2,tcnns
rmse,2,0.12843765335603782,CTRPv2,GDSCv2,tcnns
rmse,3,0.12424511453613012,CTRPv2,GDSCv2,tcnns
rmse,4,0.12497840324335358,CTRPv2,GDSCv2,tcnns
rmse,5,0.129305266239584,CTRPv2,GDSCv2,tcnns
rmse,6,0.12530757812512755,CTRPv2,GDSCv2,tcnns
rmse,7,0.1336263121336585,CTRPv2,GDSCv2,tcnns
rmse,8,0.12903463548706873,CTRPv2,GDSCv2,tcnns
rmse,9,0.1278544027899585,CTRPv2,GDSCv2,tcnns
pcc,0,0.546923510206191,CTRPv2,GDSCv2,tcnns
pcc,1,0.594472795948529,CTRPv2,GDSCv2,tcnns
pcc,2,0.5932458121083459,CTRPv2,GDSCv2,tcnns
pcc,3,0.6014506308117203,CTRPv2,GDSCv2,tcnns
pcc,4,0.5990585643343238,CTRPv2,GDSCv2,tcnns
pcc,5,0.5860978316618783,CTRPv2,GDSCv2,tcnns
pcc,6,0.6078453129322312,CTRPv2,GDSCv2,tcnns
pcc,7,0.5813402027056649,CTRPv2,GDSCv2,tcnns
pcc,8,0.5697535448631741,CTRPv2,GDSCv2,tcnns
pcc,9,0.5954744726586407,CTRPv2,GDSCv2,tcnns
scc,0,0.45259380440138014,CTRPv2,GDSCv2,tcnns
scc,1,0.46598694702914795,CTRPv2,GDSCv2,tcnns
scc,2,0.455265085303028,CTRPv2,GDSCv2,tcnns
scc,3,0.4977002406993144,CTRPv2,GDSCv2,tcnns
scc,4,0.47683946629123686,CTRPv2,GDSCv2,tcnns
scc,5,0.5054361357177082,CTRPv2,GDSCv2,tcnns
scc,6,0.5059382895646924,CTRPv2,GDSCv2,tcnns
scc,7,0.49120309555545066,CTRPv2,GDSCv2,tcnns
scc,8,0.4780794954400998,CTRPv2,GDSCv2,tcnns
scc,9,0.4797194215031386,CTRPv2,GDSCv2,tcnns
